review_id,review_batch,record_type,record_id,field_name,action,coder,recorded_at,codebook_version,initial_value,previous_value,new_value,source_ids,source_locator,rationale,adjudicator,decision_status,related_review_ids,successor_record_ids
REV-G2-QA063,G2-QA,CLAIM,C-R3-015,claim_type,RECODE,Devin,26/09/11,1.3-candidate,METHOD_OUTPUT,METHOD_OUTPUT,CONTEXT,,,QA: GBSLEP GVA and employment is sector baseline,Devin,RESOLVED,,
REV-G2-QA064,G2-QA,CLAIM,C-R3-030,claim_type,RECODE,Devin,26/09/11,1.3-candidate,METHOD_OUTPUT,METHOD_OUTPUT,CONTEXT,,,QA: Kirklees 2024 data coverage is descriptive,Devin,RESOLVED,,
REV-G2-QA065,G2-QA,CLAIM,C-R3-031,claim_type,RECODE,Devin,26/09/11,1.3-candidate,METHOD_OUTPUT,METHOD_OUTPUT,CONTEXT,,,QA: Kirklees 2026 economic impact is descriptive,Devin,RESOLVED,,
REV-G2-QA066,G2-QA,CLAIM,C-R3-032,claim_type,RECODE,Devin,26/09/11,1.3-candidate,METHOD_OUTPUT,METHOD_OUTPUT,CONTEXT,,,QA: Kirklees £250.9m GVA is sector baseline,Devin,RESOLVED,,
REV-G2-QA067,G2-QA,CLAIM,C-R3-034,claim_type,RECODE,Devin,26/09/11,1.3-candidate,METHOD_OUTPUT,METHOD_OUTPUT,CONTEXT,,,QA: Kirklees voluntary arts is sector baseline,Devin,RESOLVED,,
REV-G2-QA068,G2-QA,REVIEW,G2-QA-PASS2-R3,systematic_check,REVIEW_NOTE,Devin,26/09/11,1.3-candidate,,,COMPLETED,,,Extended systematic check to R3 pilot claims; 8 R3 baseline measurement claims reclassified from METHOD_OUTPUT to CONTEXT; 8 borderline R3 claims retained as METHOD_OUTPUT (describe mapping/SNA method application rather than sector baselines),Devin,RESOLVED,,
REV-G2-QA069,G2-QA,CLAIM,C-R3-009,claim_type,RECODE,Devin,26/09/11,1.3-candidate,METHOD_OUTPUT,METHOD_OUTPUT,CONTEXT,,,QA: 3847 job postings is sector baseline not method output,Devin,RESOLVED,,
REV-G2-QA070,G2-QA,CLAIM,C-R3-027,claim_type,RECODE,Devin,26/09/11,1.3-candidate,METHOD_OUTPUT,METHOD_OUTPUT,CONTEXT,,,QA: ICT/creative convergence is contextual trend not method output,Devin,RESOLVED,,
REV-G2-QA071,G2-QA,CLAIM,C-R3-038,claim_type,RECODE,Devin,26/09/11,1.3-candidate,METHOD_OUTPUT,METHOD_OUTPUT,CONTEXT,,,QA: Derby Masterplan authorship is prior context; also fixed empty project_id to P23-DERBY,Devin,RESOLVED,,
REV-G2-QA072,G2-QA,CLAIM,C-R3-038,project_id,RECODE,Devin,26/09/11,1.3-candidate,,,P23-DERBY,,,,QA: empty project_id fixed to P23-DERBY,Devin,RESOLVED,
REV-G2-QA073,G2-QA,REVIEW,G2-QA-FINAL,final_pass,REVIEW_NOTE,Devin,26/09/11,1.3-candidate,,,COMPLETED,,,"Final pass: 3 remaining R3 claims fixed (C-R3-009/027/038); C-R3-038 had empty project_id; all checks passed: EFFECT attribution, empty fields, expired options, strong verbs; 5 claims with figures but no measurement records flagged as residual; systematic baseline-as-METHOD_OUTPUT pattern now fully resolved across G2 and R3",Devin,RESOLVED,,
REV-G2-QA074,G2-QA,CLAIM,C-R3-036,project_id,RECODE,Devin,26/09/11,1.3-candidate,,,P23-DERBY,,,QA: empty project_id fixed to P23-DERBY,Devin,RESOLVED,,
REV-G2-QA075,G2-QA,CLAIM,C-R3-037,project_id,RECODE,Devin,26/09/11,1.3-candidate,,,P23-DERBY,,,QA: empty project_id fixed to P23-DERBY,Devin,RESOLVED,,
REV-G2-QA076,G2-QA,CLAIM,C-R3-036,project_id,RECODE,Devin,26/09/11,1.3-candidate,P23-DERBY,P23-DERBY,,,,REVERTED: Derby Culture Strategic Review is NOT P23-DERBY (Screen Agency Feasibility); needs new project record; RESIDUAL UNCERTAINTY,Devin,RESOLVED,,
REV-G2-QA077,G2-QA,CLAIM,C-R3-037,project_id,RECODE,Devin,26/09/11,1.3-candidate,P23-DERBY,P23-DERBY,,,,REVERTED: Derby Culture Strategic Review is NOT P23-DERBY (Screen Agency Feasibility); needs new project record; RESIDUAL UNCERTAINTY,Devin,RESOLVED,,
REV-G2-QA078,G2-QA,PROJECT,P35-DERBYMAP,project_id,CREATE,Devin,26/09/11,1.3-candidate,,,,,,Created P35-DERBYMAP for 2021 Derby Cultural Masterplan; distinct from P23-DERBY (Screen Agency) and P36-DERBYCSR (2026 bid); user confirmed three distinct Derby projects,Devin,RESOLVED,,
REV-G2-QA079,G2-QA,PROJECT,P36-DERBYCSR,project_id,CREATE,Devin,26/09/11,1.3-candidate,,,,,,Created P36-DERBYCSR for 2026 Derby Culture Strategic Review unsuccessful bid; T05-DERBY in tenders; NOT_AWARDED,Devin,RESOLVED,,
REV-G2-QA080,G2-QA,CLAIM,C-R3-036,project_id,RECODE,Devin,26/09/11,1.3-candidate,,,P36-DERBYCSR,,,project_id set to P36-DERBYCSR; option_state set to EXPIRED (unsuccessful bid),Devin,RESOLVED,,
REV-G2-QA081,G2-QA,CLAIM,C-R3-037,project_id,RECODE,Devin,26/09/11,1.3-candidate,,,P36-DERBYCSR,,,project_id set to P36-DERBYCSR; option_state set to EXPIRED (unsuccessful bid),Devin,RESOLVED,,
REV-G2-QA082,G2-QA,CLAIM,C-R3-038,project_id,RECODE,Devin,26/09/11,1.3-candidate,P23-DERBY,P23-DERBY,P35-DERBYMAP,,,CONFLATION ERROR CORRECTED: C-R3-038 is about 2021 Masterplan not Screen Agency; project_id corrected from P23-DERBY to P35-DERBYMAP,Devin,RESOLVED,,
REV-G2-QA083,G2-QA,SOURCE,SRC-R3-04,project_id,RECODE,Devin,26/09/11,1.3-candidate,,,P36-DERBYCSR,,,project_id set to P36-DERBYCSR,Devin,RESOLVED,,
REV-G2-QA084,G2-QA,SOURCE,SRC-R3-05,project_id,RECODE,Devin,26/09/11,1.3-candidate,,,P36-DERBYCSR,,,project_id set to P36-DERBYCSR,Devin,RESOLVED,,
REV-G2-QA085,G2-QA,SOURCE,SRC-R3-06,project_id,RECODE,Devin,26/09/11,1.3-candidate,,,P36-DERBYCSR,,,project_id set to P36-DERBYCSR,Devin,RESOLVED,,
REV-G2-QA086,G2-QA,SOURCE,SRC-R3-07,project_id,RECODE,Devin,26/09/11,1.3-candidate,,,P36-DERBYCSR,,,project_id set to P36-DERBYCSR,Devin,RESOLVED,,
REV-G2-QA087,G2-QA,REVIEW,G2-QA-CONFLATION,conflation_check,REVIEW_NOTE,Devin,26/09/11,1.3-candidate,,,COMPLETED,,,Systematic conflation check: all projects checked for geographic and topic mismatches; no other conflation found; Derby was the only case; rules updated to prevent recurrence,Devin,RESOLVED,,
REV-G2-QA088,G2-QA,CLAIM,C-G2-002,verification,VERIFY,Devin,26/09/11,1.3-candidate,,,,,,VERIFIED: 22% London employment figure confirmed in SRC-G2-003 Table 2 (131300 to 159700 = 21.6% rounds to 22%); 43% East London employment confirmed in Table 3 (25300 to 36200); all figures verified against baseline spreadsheet and summary report; no change needed,Devin,RESOLVED,,
REV-G2-QA089,G2-QA,CLAIM,C-G2-056,rival_explanations,ADD,Devin,26/09/11,1.3-candidate,,,,,,Added rival_explanations: CoSTAR selection involved multiple factors (Wakefield Council Production Park University of York national CoSTAR programme); CDF role is testimony-based not counterfactual; retained as EFFECT/DESCRIPTIVE per user decision C,Devin,RESOLVED,,
REV-G2-QA090,G2-QA,CLAIM,C-G2-041,option_state,RECODE,Devin,26/09/11,1.3-candidate,UNKNOWN,UNKNOWN,EXPIRED,,,option_state set to EXPIRED; final evaluation (SRC-G2-030 25/06) does not confirm 7.8:1 leverage forecast; Development Fund treated as COVID emergency support; 7.8:1 in final eval is a hypothetical scenario ratio not a realised outcome,Devin,RESOLVED,,
REV-G2-QA091,G2-QA,SOURCE,SRC-G2-030,source_id,CREATE,Devin,26/09/11,1.3-candidate,,,,,,Created source record for Liverpool City Region Production Fund Final Evaluation (25/06); extracted to SRC-LPF-FINAL_v1_full.txt; 711 paragraphs; used to verify C-G2-041 Development Fund forecast,Devin,RESOLVED,,
REV-G2-QA092,G2-QA,CLAIM,C-G2-070,review,REVIEW_NOTE,Devin,26/09/11,1.3-candidate,,,,,,No change needed; Integrated Case label already signals scenario not measured outcome; Base Case £324.7m and £81.2m gap preserved in source and notes; user decision B,Devin,RESOLVED,,
REV-G2-QA093,G2-QA,MEASUREMENT,MEAS-G2-021,notes,ADD,Devin,26/09/11,1.3-candidate,,,,,,Added methodological caveat: upper bound; £2bn relies on generic ONS regional productivity index applied to LinkedIn workforce estimate; BRES pre-pandemic; per user decision A,Devin,RESOLVED,,
REV-G2-QA094,G2-QA,PROJECT,P22-LCRFILM;P27-WAKECDF,fifth_sector_role,REVIEW_NOTE,Devin,26/09/11,1.3-candidate,,,,,,No change needed; DESIGNER;DELIVERER;EVALUATOR;LEAD_CONSULTANT retained at project level; claim-level EVALUATOR role provides the distinction between evaluation delivery and programme delivery; per user decision C,Devin,RESOLVED,,
REV-G2-QA095,G2-QA,CLAIM,C-G2-037,value_basis,ADD,Devin,26/09/11,1.3-candidate,,,OBSERVED_AMOUNT,,,value_basis set to OBSERVED_AMOUNT for METHOD_OUTPUT claim with £ figure; per user decision A,Devin,RESOLVED,,
REV-G2-QA096,G2-QA,CLAIM,C-G2-038,value_basis,ADD,Devin,26/09/11,1.3-candidate,,,OBSERVED_AMOUNT,,,value_basis set to OBSERVED_AMOUNT for METHOD_OUTPUT claim with £ figure; per user decision A,Devin,RESOLVED,,
REV-G2-QA097,G2-QA,CLAIM,C-G2-039,value_basis,ADD,Devin,26/09/11,1.3-candidate,,,OBSERVED_AMOUNT,,,value_basis set to OBSERVED_AMOUNT for METHOD_OUTPUT claim with £ figure; per user decision A,Devin,RESOLVED,,
REV-G2-QA098,G2-QA,CLAIM,C-G2-041,value_basis,ADD,Devin,26/09/11,1.3-candidate,,,SCENARIO_ESTIMATE,,,value_basis set to SCENARIO_ESTIMATE for DESIGN claim with £ figure; per user decision A,Devin,RESOLVED,,
REV-G2-QA099,G2-QA,CLAIM,C-G2-043,value_basis,ADD,Devin,26/09/11,1.3-candidate,,,DESCRIPTIVE_ESTIMATE,,,value_basis set to DESCRIPTIVE_ESTIMATE for CONTEXT claim with £ figure; per user decision A,Devin,RESOLVED,,
REV-G2-QA100,G2-QA,CLAIM,C-G2-052,value_basis,ADD,Devin,26/09/11,1.3-candidate,,,OBSERVED_AMOUNT,,,value_basis set to OBSERVED_AMOUNT for METHOD_OUTPUT claim with £ figure; per user decision A,Devin,RESOLVED,,
REV-G2-QA101,G2-QA,CLAIM,C-G2-053,value_basis,ADD,Devin,26/09/11,1.3-candidate,,,DESCRIPTIVE_ESTIMATE,,,value_basis set to DESCRIPTIVE_ESTIMATE for CONTEXT claim with £ figure; per user decision A,Devin,RESOLVED,,
REV-G2-QA102,G2-QA,CLAIM,C-G2-062,value_basis,ADD,Devin,26/09/11,1.3-candidate,,,DESCRIPTIVE_ESTIMATE,,,value_basis set to DESCRIPTIVE_ESTIMATE for CONTEXT claim with £ figure; per user decision A,Devin,RESOLVED,,
REV-G2-QA103,G2-QA,CLAIM,C-G2-067,value_basis,ADD,Devin,26/09/11,1.3-candidate,,,DESCRIPTIVE_ESTIMATE,,,value_basis set to DESCRIPTIVE_ESTIMATE for CONTEXT claim with £ figure; per user decision A,Devin,RESOLVED,,
REV-G2-QA104,G2-QA,CLAIM,C-G2-069,value_basis,ADD,Devin,26/09/11,1.3-candidate,,,SCENARIO_ESTIMATE,,,value_basis set to SCENARIO_ESTIMATE for DESIGN claim with £ figure; per user decision A,Devin,RESOLVED,,
REV-G2-QA105,G2-QA,CLAIM,C-G2-070,value_basis,ADD,Devin,26/09/11,1.3-candidate,,,DESCRIPTIVE_ESTIMATE,,,value_basis set to DESCRIPTIVE_ESTIMATE for CONTEXT claim with £ figure; per user decision A,Devin,RESOLVED,,
REV-G2-QA106,G2-QA,CLAIM,C-G2-073,value_basis,ADD,Devin,26/09/11,1.3-candidate,,,SCENARIO_ESTIMATE,,,value_basis set to SCENARIO_ESTIMATE for DESIGN claim with £ figure; per user decision A,Devin,RESOLVED,,
REV-G2-QA107,G2-QA,CLAIM,C-G2-074,value_basis,ADD,Devin,26/09/11,1.3-candidate,,,SCENARIO_ESTIMATE,,,value_basis set to SCENARIO_ESTIMATE for DESIGN claim with £ figure; per user decision A,Devin,RESOLVED,,
REV-G2-QA108,G2-QA,CLAIM,C-G2-075,value_basis,ADD,Devin,26/09/11,1.3-candidate,,,DESCRIPTIVE_ESTIMATE,,,value_basis set to DESCRIPTIVE_ESTIMATE for CONTEXT claim with £ figure; per user decision A,Devin,RESOLVED,,
REV-G2-QA109,G2-QA,REVIEW,G2-QA-VALUE-BASIS,value_basis,REVIEW_NOTE,Devin,26/09/11,1.3-candidate,,,COMPLETED,,,"Filled value_basis for 14 claims with £ figures: CONTEXT->DESCRIPTIVE_ESTIMATE, METHOD_OUTPUT->OBSERVED_AMOUNT, DESIGN->SCENARIO_ESTIMATE; per user decision A",Devin,RESOLVED,,
REV-G2-QA110,G2-QA,SOURCE,SRC-R2-12;SRC-R2-13;SRC-R2-14;SRC-R2-15,project_id,REVIEW_NOTE,Devin,26/09/11,1.3-candidate,,,,,,No project records needed; LCR Screen Sector Research is an unsuccessful bid (T04-LCRFILM); BC Art and Tech is a tender awaiting decision (T01-BCAT); these are tender pipeline items not projects; empty project_id is correct; per user confirmation,Devin,RESOLVED,,
REV-G2-QA111,G2-QA,CLAIM,C-R3-022,option_state,RECODE,Devin,26/09/11,1.3-candidate,PROPOSED,PROPOSED,EXPIRED,,,option_state corrected: P07-CC is NOT_AWARDED; notes already confirmed unsuccessful; caught in final QA verification,Devin,RESOLVED,,
REV-G2-QA112,G2-QA,PROJECT,P37-P84,project_id,CREATE,Devin,26/09/11,1.3-candidate,,,,,,Created 48 new project records (P37-P84) for post-2020 creative economy folders identified in archive triage; 46 new FS creative economy projects + Herefordshire Culture Strategy (separate from P30) + British Council MNE NM (separate from 2026 WB); review_batch=G2-BATCH-C; pre-2020 folders deferred per user instruction,Devin,RESOLVED,,
REV-G2-QA113,G2-QA,PROJECT,P38;P39;P40;P41;P42,project_id,DELETE,Devin,26/09/11,1.3-candidate,,,,,,"Dropped 5 invalid 2020 projects per user review: Creative England (P38), LCEI (P39), Liverpool Games Studios (P40), MMU SODA (P41), WCCF (P42); P37 reassigned from Creative England to Proving Services Suffolk (FHRG) per user correction",Devin,RESOLVED,,
REV-G2-QA114,G2-QA,PROJECT,P37,canonical_name,RECODE,Devin,26/09/11,1.3-candidate,Creative England Investment Programme Impact Survey,Creative England Investment Programme Impact Survey,Proving Services Suffolk (FHRG),,,P37 reassigned from Creative England to Proving Services Suffolk per user correction; FHRG Suffolk PV site analysis and business case work,Devin,RESOLVED,,
REV-G2-QA115,G2-QA,PROJECT,P44;P49,project_id,DELETE,Devin,26/09/11,1.3-candidate,,,,,,"Dropped 2 invalid 2021 projects per user review: Blackpool LFFN (P44), Heritage Alliance DASH (P49)",Devin,RESOLVED,,
REV-G2-QA116,G2-QA,PROJECT,P53;P56;P59;P60,project_id,DELETE,Devin,26/09/11,1.3-candidate,,,,,,"Dropped 4 invalid 2022 projects per user review: Stockport CI Data (P53), FACT BFI EOI (P56), WoW (P59), ixia (P60)",Devin,RESOLVED,,
REV-G2-QA117,G2-QA,PROJECT,P55,project_id,MERGE,Devin,26/09/11,1.3-candidate,,,,,,Merged P55 (ManMet CCI Report) into P21-MMUCCI; 221013 Man Met CCI reportrcibv2.docx is final deliverable from P21 commission; per user confirmation,Devin,RESOLVED,,
REV-G2-QA118,G2-QA,PROJECT,P65;P66,project_id,DELETE,Devin,26/09/11,1.3-candidate,,,,,,"Dropped 2 invalid 2023 projects per user review: ZCRI Eco-I NW (P65), Amplify Innovation Programme (P66)",Devin,RESOLVED,,
REV-G2-QA119,G2-QA,PROJECT,P67;P71,project_id,DELETE,Devin,26/09/11,1.3-candidate,,,,,,"Dropped 2 invalid 2024 projects per user review: BEYOND (P67), Northern Cultural Corridor (P71); kept P48 and P70 as separate Wakefield skills projects (2021 and 2024-25)",Devin,RESOLVED,,
REV-G2-QA120,G2-QA,PROJECT,P72;P74,project_id,DELETE,Devin,26/09/11,1.3-candidate,,,,,,"Dropped 2 invalid 2025 projects per user review: ATI BridgeAI (P72), Creative Scotland CBDP (P74)",Devin,RESOLVED,,
REV-G2-QA121,G2-QA,PROJECT,P77,project_id,DELETE,Devin,26/09/11,1.3-candidate,,,,,,Dropped Lancaster True North CICP2 Bid (P77); folder empty; per user review,Devin,RESOLVED,,
REV-G2-QA122,G2-QA,PROJECT,P82,canonical_name,RECODE,Devin,26/09/11,1.3-candidate,British Council Western Balkans,British Council Western Balkans,British Council Kotor Exchange Pilot (FCDO-funded),,,"Restructured per user instruction: distinguish FCDO-funded Plymouth-Kotor exchange pilot from CEC development; Kotor = ministerial meeting, Reimagining Growth event, placemaking workshops, UK delegates; COMPLETED 25/05",Devin,RESOLVED,,
REV-G2-QA123,G2-QA,PROJECT,P83,canonical_name,RECODE,Devin,26/09/11,1.3-candidate,British Council MNE NM,British Council MNE NM,British Council Creative Economy Council Development (MNE NM + WB),,,"Restructured per user instruction: CEC development for Montenegro, North Macedonia, Albania; Berlin Process follow-up; 2026 WB continuation; separate from Kotor Exchange Pilot (P82); ACTIVE",Devin,RESOLVED,,
REV-G2-QA124,G2-QA,PROJECT,P78;P79;P80;P81;P82;P83,lifecycle_status,UPDATE,Devin,26/09/11,1.3-candidate,,,,,,User caveat: P78-P81 work in progress; P82-P83 completed initial phase awaiting further instruction; programme_status=PHASE_COMPLETE_AWAITING_INSTRUCTION for P82/P83,Devin,RESOLVED,,
REV-G2-QA125,G2-QA,SOURCE,SRC-G2-031-SRC-G2-043,source_id,CREATE,Devin,26/09/11,1.3-candidate,,,,,,"Created 13 source records for 2020-2021 Phase 2 batch (P37, P43, P45, P46, P47, P48, P50); canonical sources extracted and scope confirmed",Devin,RESOLVED,,
REV-G2-QA126,G2-QA,PROJECT,P37;P43;P45;P46;P47;P48;P50,assessment_status,UPDATE,Devin,26/09/11,1.3-candidate,,,,,,Tier 1 coverage screening complete for 2020-2021 batch; 7 projects; 13 sources registered; scope confirmed; key documents extracted,Devin,RESOLVED,,
REV-G2-QA127,G2-QA,SOURCE,SRC-G2-044-SRC-G2-056,source_id,CREATE,Devin,26/09/11,1.3-candidate,,,,,,"Created 13 source records for 2022 Phase 2 batch (P51, P52, P54, P57, P58); canonical sources extracted and scope confirmed",Devin,RESOLVED,,
REV-G2-QA128,G2-QA,PROJECT,P51;P52;P54;P57;P58,assessment_status,UPDATE,Devin,26/09/11,1.3-candidate,,,,,,Tier 1 coverage screening complete for 2022 batch; 5 projects; 13 sources registered; scope confirmed,Devin,RESOLVED,,
REV-G2-QA129,G2-QA,SOURCE,SRC-G2-057-SRC-G2-064,source_id,CREATE,Devin,26/09/11,1.3-candidate,,,,,,"Created 8 source records for 2023 Phase 2 batch (P61, P62, P63, P64); canonical sources extracted and scope confirmed",Devin,RESOLVED,,
REV-G2-QA130,G2-QA,PROJECT,P61;P62;P63;P64,assessment_status,UPDATE,Devin,26/09/11,1.3-candidate,,,,,,Tier 1 coverage screening complete for 2023 batch; 4 projects; 8 sources registered; scope confirmed,Devin,RESOLVED,,
REV-G2-QA131,G2-QA,SOURCE,SRC-G2-065-SRC-G2-072,source_id,CREATE,Devin,26/09/11,1.3-candidate,,,,,,"Created 8 source records for 2024 Phase 2 batch (P68, P69, P70, P84); canonical sources extracted and scope confirmed",Devin,RESOLVED,,
REV-G2-QA132,G2-QA,PROJECT,P68;P69;P70;P84,assessment_status,UPDATE,Devin,26/09/11,1.3-candidate,,,,,,Tier 1 coverage screening complete for 2024 batch; 4 projects; 8 sources registered; scope confirmed; P69 Our Year evaluation is 160k chars — very substantial,Devin,RESOLVED,,
REV-G2-QA133,G2-QA,SOURCE,SRC-G2-073-SRC-G2-088,source_id,CREATE,Devin,26/09/11,1.3-candidate,,,,,,"Created 16 source records for 2025-2026 Phase 2 batch (P73, P75, P76, P78, P79, P80, P81, P82, P83); canonical sources extracted and scope confirmed; P83 BC WB report is 65k chars — very substantial",Devin,RESOLVED,,
REV-G2-QA134,G2-QA,PROJECT,P73;P75;P76;P78;P79;P80;P81;P82;P83,assessment_status,UPDATE,Devin,26/09/11,1.3-candidate,,,,,,Tier 1 coverage screening complete for 2025-2026 batch; 9 projects; 16 sources registered; scope confirmed; WIP and phase-complete caveats preserved,Devin,RESOLVED,,
REV-G2-QA135,G2-QA,PROJECT,P37-P84,assessment_status,UPDATE,Devin,26/09/11,1.3-candidate,,,,,,Tier 1 coverage screening complete for ALL 29 Phase 2 projects; 58 sources registered (SRC-G2-031 to SRC-G2-088); all projects COVERAGE_COMPLETE; ready for Tier 2 classification,Devin,RESOLVED,,
REV-G2-025,G2-BATCH-D,MILESTONE,full_read_complete,process,COMPLETE_FULL_READ,Devin,26/09/12T01:30:00Z,1.3-candidate,,,,All G2 R2 R3 LPF and project-specific sources read in full; 561 claims; 578 evidence links; 111 sources; 65 projects,,,,
REV-G2-026,G2-BATCH-D,EVIDENCE_LINK_GAP,E-G2-430:E-G2-538,record_count,ADD_109_LINKS,Devin,26/09/12T01:30:00Z,1.3-candidate,,,,109 evidence links added for 7 projects missing from evidence_links; P46 P69 P83 P57 P52 P62 P22,,,,
REV-G2-027,G2-BATCH-D,SOURCE_METADATA,SRC-G2-030:SRC-G2-088,metadata,UPDATE_59_SOURCES,Devin,26/09/12T01:30:00Z,1.3-candidate,,,,59 G2-BATCH-C source records updated with derived_location extraction_quality source_review_state reviewer review_date,,,,
REV-G2-028,G2-BATCH-D,VALIDATION_ACTIONS,VAL-G2-025:VAL-G2-040,record_count,ADD_16_ACTIONS,Devin,26/09/12T01:30:00Z,1.3-candidate,,,,16 validation actions added for R2-09B GVA discrepancy P75 mismatch P58 binary P68 empty WIP statuses and numeric checks,,,,
REV-G2-029,G2-BATCH-D,CLAIM_FIX,C-G2-449,option_state,EXPIRED,Devin,26/09/12T01:30:00Z,1.3-candidate,PROPOSED,PROPOSED,EXPIRED,,,P07-CC NOT_AWARDED; DESIGN claim option_state corrected,,,,
REV-G2-030,G2-BATCH-D,CLAIM_FIX,C-G2-450,option_state,EXPIRED,Devin,26/09/12T01:30:00Z,1.3-candidate,PROPOSED,PROPOSED,EXPIRED,,,P07-CC NOT_AWARDED; DESIGN claim option_state corrected,,,,
REV-G2-031,G2-BATCH-D,CLAIM_FIX,C-G2-451,option_state,EXPIRED,Devin,26/09/12T01:30:00Z,1.3-candidate,PROPOSED,PROPOSED,EXPIRED,,,P07-CC NOT_AWARDED; DESIGN claim option_state corrected,,,,
REV-G2-032,G2-BATCH-D,CLAIM_FIX,C-G2-465,claim_type,CONTEXT,Devin,26/09/12T01:30:00Z,1.3-candidate,METHOD_OUTPUT,METHOD_OUTPUT,CONTEXT,,,Birmingham LQ is sector baseline not method output; value_basis=DESCRIPTIVE_ESTIMATE,,,,
REV-G2-033,G2-BATCH-D,CLAIM_FIX,C-G2-480,claim_type,CONTEXT,Devin,26/09/12T01:30:00Z,1.3-candidate,METHOD_OUTPUT,METHOD_OUTPUT,CONTEXT,,,Beauhurst company count is sector baseline not method output; value_basis=DESCRIPTIVE_ESTIMATE,,,,
REV-G2-034,G2-BATCH-D,SOURCE_FLAG,SRC-G2-056,extraction_quality,BINARY,Devin,26/09/12T01:30:00Z,1.3-candidate,,,,Plymouth NMP Digital Strategy; 22MB binary PDF; no extractable text,,,,
REV-G2-035,G2-BATCH-D,SOURCE_FLAG,SRC-G2-065,extraction_quality,EMPTY,Devin,26/09/12T01:30:00Z,1.3-candidate,,,,WYCA proposal; 0 bytes; empty file; no content,,,,
REV-G2-036,G2-BATCH-D,SOURCE_FLAG,SRC-G2-074,extraction_quality,MISMATCH,Devin,26/09/12T01:30:00Z,1.3-candidate,,,,Lancaster AHRC CIC; filename/content mismatch; Liverpool MusicFutures email content,,,,
REV-G2-037,G2-BATCH-D,VALIDATION_ACTIONS,07_validation_actions,header_fix,REMOVE_DUPLICATE_HEADER,Devin,26/09/12T01:30:00Z,1.3-candidate,,,,Duplicate header row removed from validation_actions CSV,,,,
REV-G2-038,G2-BATCH-D,USER_CONFIRMATION,P76,project_status,NOT_AWARDED,Devin,26/09/12T02:00:00Z,1.3-candidate,ACTIVE,ACTIVE,NOT_AWARDED,,,Lancaster Horizon bid submitted unsuccessful due to project management; methodology scored highly; 8 DESIGN claims option_state set to EXPIRED; Iain confirmed,,,,
REV-G2-039,G2-BATCH-D,USER_CONFIRMATION,P78,project_status,IN_PROGRESS,Devin,26/09/12T02:00:00Z,1.3-candidate,IN_PROGRESS,IN_PROGRESS,IN_PROGRESS,,,Beatles Impact Study still in progress; Iain confirmed 26/09/12,,,,
REV-G2-040,G2-BATCH-D,USER_CONFIRMATION,P79,project_status,DELIVERED,Devin,26/09/12T02:00:00Z,1.3-candidate,IN_PROGRESS,IN_PROGRESS,DELIVERED,,,CELL Business Case report finalised; additional CoSTAR Showcase lab data rendering pending instruction from Loughborough University London; Iain confirmed,,,,
REV-G2-041,G2-BATCH-D,USER_CONFIRMATION,P80,project_status,ACTIVE,Devin,26/09/12T02:00:00Z,1.3-candidate,IN_PROGRESS,IN_PROGRESS,ACTIVE,,,Southampton Forward Strategic Review commission awarded; work ongoing; Iain confirmed,,,,
REV-G2-042,G2-BATCH-D,USER_CONFIRMATION,P81,project_status,IN_PROGRESS,Devin,26/09/12T02:00:00Z,1.3-candidate,IN_PROGRESS,IN_PROGRESS,IN_PROGRESS,,,WB6 Creative Economy Pulse PoC draft resubmitted with methodology clarifications; awaiting client confirmation; Iain confirmed,,,,
REV-G2-043,G2-BATCH-D,USER_CONFIRMATION,P83,project_status,PHASE_COMPLETE_AWAITING_INSTRUCTION,Devin,26/09/12T02:00:00Z,1.3-candidate,ACTIVE,ACTIVE,PHASE_COMPLETE_AWAITING_INSTRUCTION,,,BC Western Balkans programme phase complete; still awaiting instruction for next phase; Iain confirmed,,,,
REV-G2-044,G2-BATCH-D,USER_CONFIRMATION,SRC-R2-09B,consistency,PRESERVE_BOTH,Devin,26/09/12T02:00:00Z,1.3-candidate,,,,,LCR DCI GVA discrepancy; both £4.0bn main text and £4.5bn appendix are modelled estimates; preserve both with discrepancy flag; Iain confirmed,,,,
REV-G2-045,G2-BATCH-D,SOURCE_FIX,SRC-G2-065,extraction_quality,COMPLETE,Devin,26/09/12T02:00:00Z,1.3-candidate,EMPTY,EMPTY,COMPLETE,,,WYCA proposal re-extracted from 240128 WYCA CCI outline draft proposal.docx; 9854 chars; Iain confirmed,,,,
REV-G2-046,G2-BATCH-D,SOURCE_FIX,SRC-G2-056,extraction_quality,COMPLETE,Devin,26/09/12T02:00:00Z,1.3-candidate,BINARY,BINARY,COMPLETE,,,Plymouth NMP Digital Strategy re-extracted with PyPDF2; 2334 chars; diagram-like content; Iain confirmed,,,,
REV-G2-047,G2-BATCH-D,SOURCE_INVESTIGATION,SRC-G2-074,mismatch,UNRESOLVED,Devin,26/09/12T02:00:00Z,1.3-candidate,MISMATCH,MISMATCH,MISMATCH,,,Lancaster AHRC CIC archive folder does not contain actual report; .eml is Liverpool MusicFutures email; no separate Lancaster report found; 2026 Lancaster True North CICP2 bid is different project; Iain confirmed,,,,
