source_id,project_id,title,document_type,author_owner,date_version,controlled_location,page_section_locator,access_restrictions,extraction_quality,independence,source_family_id,notes,additional_project_ids,opportunity_ids,original_location,derived_location,authority_status,authority_rationale,source_review_state,extraction_tool_version,extraction_scope,extraction_warnings,original_locator,reviewer,review_date,codebook_version,review_batch
SRC-G2-066,P68,WYCA WYCreate Monitoring and Reporting,report,,24/07/10,Archive projects/2024 Projects/2024 WYCA WY Create/2024 WYCA CCI Project Management/240710 WYCreate monitoring draft.docx,,,SUPPORTING,,,Monitoring draft for WYCreate project  WYCA monitoring draft; not separately extracted,,,,extracted_text/SRC-G2-066_v1_full.txt,SUPPORTING,,NOT_ASSESSED,,full,,,,,1.3-candidate,G2-BATCH-C
SRC-G2-067,P69,Our Year Wakefield District 2024 Evaluation Report FINAL,evaluation_report,,25/11/19,Archive projects/2024 Projects/2024 Wakefield Our Year 24/251119 Our Year report FINAL.docx,,,COMPLETE,,,Evaluation of Wakefield Our Year 2024 programme; cultural democracy at scale; community wellbeing; creative skills; visitor economy; climate emergency; 160024 chars — very substantial,,,,extracted_text/P69-wakefield-oy-final_v1.txt,CANONICAL,,REVIEWED,,full,160024 chars; very substantial report; full read confirmed,,Devin,26/09/12,1.3-candidate,G2-BATCH-C
SRC-G2-068,P69,Wakefield Business Residencies Evaluation Report,evaluation_report,,24/01,Archive projects/2024 Projects/2024 Wakefield Our Year 24/Wakefield Business Residencies Evaluation Report - EXTERNAL.pdf,,,SUPPORTING,,,External evaluation of business residencies programme  External evaluation PDF; not separately extracted,,,,,SUPPORTING,,NOT_ASSESSED,,,,,,,1.3-candidate,G2-BATCH-C
SRC-G2-069,P70,Wakefield Skills Needs Assessment Interim Report,research_report,,24/12/02,Archive projects/2024 Projects/2024 Wakefield Skills Needs Assessment/241202 Wakefield Skills Assessment interim report.docx,,,COMPLETE,,,Interim report on Wakefield creative skills needs; five key areas of need; provision audit; Xcellerator Programme; film/TV sector; games; 36254 chars,,,,extracted_text/P70-wakefield-skills-interim_v1.txt,CANONICAL,,REVIEWED,,full,36254 chars; interim report; full read confirmed,,Devin,26/09/12,1.3-candidate,G2-BATCH-C
SRC-G2-070,P70,Wakefield Creative Skills Needs Assessment Framework and Timetable,framework,,24/09/01,Archive projects/2024 Projects/2024 Wakefield Skills Needs Assessment/240901 Wakefield Creative Skills Needs Assessment  Framework and Timetable.docx,,,SUPPORTING,,,Framework and timetable for Wakefield CCI skills needs assessment  Skills assessment framework; content covered in interim report,,,,extracted_text/SRC-G2-070_v1_full.txt,SUPPORTING,,NOT_ASSESSED,,full,,,,,1.3-candidate,G2-BATCH-C
SRC-G2-071,P84,Herefordshire Cultural Strategy Consultancy Proposal,proposal,,24/01,Archive projects/2024 Projects/2024 Herefordshire strategy/2024 Herefordshire strategy proposal/TheFifthSector_Cultural Strategy Consultancy Support.docx,,,COMPLETE,,,"Proposal for Herefordshire Cultural Strategy consultancy; references Rushmoor, Derby, Somerset experience; rural cultural development; 22878 chars; separate from P30-HEREFORD",,,,extracted_text/P84-herefordshire-proposal_v1.txt,CANONICAL,,REVIEWED,,full,22878 chars; full read confirmed; separate from P30-HEREFORD,,Devin,26/09/12,1.3-candidate,G2-BATCH-C
SRC-G2-072,P84,Herefordshire Cultural Strategy Reporting,strategy,,25/05,Archive projects/2024 Projects/2024 Herefordshire strategy/2025 Herefordshire Reporting/250513 Herefordshire Cultural Strategy 2025_2030 FINAL v1.0.docx,,,SUPPORTING,,,Reporting folder for Herefordshire cultural strategy  Reporting folder; not separately extracted,,,,extracted_text/SRC-G2-072_v1_full.txt,SUPPORTING,,NOT_ASSESSED,,full,,,,,1.3-candidate,G2-BATCH-C
SRC-G2-073,P73,City St George Performing Arts Value Chain Analysis,research_report,,25/05/14,Archive projects/2025 Projects/2025 City St George's SCCI/250514 Value Chain Analysis of City St George Performing Arts.docx,,,COMPLETE,,,Value chain analysis and strategic development framework for City St George performing arts; 16183 chars,,,,extracted_text/P73-city-stg-scci-value-chain_v1.txt,CANONICAL,,REVIEWED,,full,16183 chars; full read confirmed,,Devin,26/09/12,1.3-candidate,G2-BATCH-C
SRC-G2-074,P75,True North: Future Landscapes - AHRC Creative Cluster Application (APP114872),grant_application,,26/07/16,Archive projects/Google project folders/2026/2026 Lancaster True North CICP2 bid/TRUENORTH_160726l.pdf,,,COMPLETE,,,CORRECTED 26/09/12: Original .eml was misfiled Liverpool MusicFutures email; actual Lancaster AHRC CIC document is True North AHRC Creative Cluster Application (APP114872) for CICP2; 60 pages; Fifth Sector is WP6 M&E partner; mentions Foresight data platform; Nature-Culture Tech Creative Cluster summary report; AHRC CIC; remittance advice; 11MB eml — needs extraction,,,Archive projects/Google project folders/2026/2026 Lancaster True North CICP2 bid/TRUENORTH_160726l.pdf,extracted_text/P75-lancaster-ahrc-cic_v1.txt,CANONICAL,Actual Lancaster AHRC CIC application; original .eml was misfiled; corrected 26/09/12,REVIEWED,,,115276 chars; 60 pages; full read confirmed; AHRC CICP2 bid application; Fifth Sector is WP6 M&E partner; original .eml was misfiled Liverpool MusicFutures email; corrected to actual True North application,,Devin,26/09/12,1.3-candidate,G2-BATCH-C
SRC-G2-075,P76,Resilient Cave Worlds Horizon Bid Final Draft,proposal,,25/09/09,Archive projects/2025 Projects/2025 Lancaster Uni Horizon bid/250909 Resilient Cave Worlds final draft.docx,,,COMPLETE,,,EU Horizon bid; Virtual Agora; Virtual Cave; VRC consortium; 30928 chars; bid status unknown,,,,extracted_text/P76-lancaster-horizon_v1.txt,CANONICAL,,REVIEWED,,full,30928 chars; EU Horizon bid; full read confirmed; bid status unknown,,Devin,26/09/12,1.3-candidate,G2-BATCH-C
SRC-G2-076,P76,Virtual Agora Proposal,proposal,,25/07/29,Archive projects/2025 Projects/2025 Lancaster Uni Horizon bid/250729 Virtual Agora proposal.docx,,,SUPPORTING,,,Virtual Agora proposal for Horizon bid  Virtual Agora proposal; content covered in Horizon bid,,,,extracted_text/SRC-G2-076_v1_full.txt,SUPPORTING,,NOT_ASSESSED,,full,,,,,1.3-candidate,G2-BATCH-C
SRC-G2-077,P78,Updated Beatles Impact Study,research_report,,26/04,Active projects/2026 Beatles/Updated Beatles Impact Study .docx,,,COMPLETE,,,Updated Beatles economic impact study; original 2016 report found £81.9m turnover and 2335 jobs in 2014; WORK IN PROGRESS; 4409 chars,,,,extracted_text/P78-beatles-impact_v1.txt,CANONICAL,,REVIEWED,,full,4409 chars; WORK IN PROGRESS; full read confirmed,,Devin,26/09/12,1.3-candidate,G2-BATCH-C
SRC-G2-078,P78,Beatles Visitor Impact Proposal,proposal,,26/04/14,Active projects/2026 Beatles/260414 Beatles visitor impact proposal_TheFifthSector.docx,,,SUPPORTING,,,Proposal for c£10k Beatles Legacy Group commission to update 2016 economic impact report  Beatles visitor impact proposal; content covered in impact study,,,,extracted_text/SRC-G2-078_v1_full.txt,SUPPORTING,,NOT_ASSESSED,,full,,,,,1.3-candidate,G2-BATCH-C
SRC-G2-079,P79,CELL Business Case Update,business_case,,26/03/15,Active projects/2026 CELL/260315 CELL Business Case update.docx,,,COMPLETE,,,CELL business case update; supply chain analysis; 74000 LinkedIn profiles; 32000 creative/production roles; WORK IN PROGRESS; 21606 chars,,,,extracted_text/P79-cell-buscase_v1.txt,CANONICAL,,REVIEWED,,full,21606 chars; WORK IN PROGRESS; full read confirmed,,Devin,26/09/12,1.3-candidate,G2-BATCH-C
SRC-G2-080,P80,Southampton Forward Strategic Review Proposal,proposal,,26/05,Active projects/2026 Southampton Forward/Southampton Forward — Strategic Review Proposal (The Fifth Sector).docx,,,COMPLETE,,,Strategic review of culture in Southampton; £25k budget; Southampton Forward legacy; WORK IN PROGRESS; 18758 chars,,,,extracted_text/P80-southampton-forward_v1.txt,CANONICAL,,REVIEWED,,full,18758 chars; WORK IN PROGRESS; full read confirmed,,Devin,26/09/12,1.3-candidate,G2-BATCH-C
SRC-G2-081,P81,WB6 Creative Economy Pulse Proof of Concept,research_report,,26/01,Active projects/2026 WB6 Creative Economy Pulse/WB6 Creative Economy Pulse PoC.docx,,,COMPLETE,,,WB6 Creative Economy Pulse proof of concept; LinkedIn penetration; three-layer dashboard; WORK IN PROGRESS; 8382 chars,,,,extracted_text/P81-wb6-pulse-poc_v1.txt,CANONICAL,,REVIEWED,,full,8382 chars; WORK IN PROGRESS; full read confirmed,,Devin,26/09/12,1.3-candidate,G2-BATCH-C
SRC-G2-082,P81,LinkedIn Penetration WB6,research_report,,26/01,Active projects/2026 WB6 Creative Economy Pulse/LinkedIn Penetration WB6_updated.docx,,,SUPPORTING,,,LinkedIn penetration analysis for WB6 creative economy  LinkedIn penetration analysis; content covered in PoC,,,,extracted_text/SRC-G2-082_v1_full.txt,SUPPORTING,,NOT_ASSESSED,,full,,,,,1.3-candidate,G2-BATCH-C
SRC-G2-083,P82,Kotor Western Balkans Creative Economy Ministerial Meeting Summary,briefing,,25/05/28,Archive projects/2025 Projects/2025 British Council MNE NM/2025 Kotor/250528 Kotor event summary note.docx,,,COMPLETE,,,FCDO-funded Kotor ministerial meeting summary; joint declaration; British Council funding; World Bank engagement; 6066 chars; COMPLETED initial phase,,,,extracted_text/P82-kotor-summary_v1.txt,CANONICAL,,REVIEWED,,full,6066 chars; full read confirmed,,Devin,26/09/12,1.3-candidate,G2-BATCH-C
SRC-G2-084,P82,Kotor Ministerial Meeting Agenda,agenda,,25/05/27,Archive projects/2025 Projects/2025 British Council MNE NM/2025 Kotor/250527 Reimagining Growth Session Agenda v2.docx,,,SUPPORTING,,,Reimagining Growth session agenda for Kotor ministerial meeting  Kotor agenda; content covered in summary,,,,extracted_text/SRC-G2-084_v1_full.txt,SUPPORTING,,NOT_ASSESSED,,full,,,,,1.3-candidate,G2-BATCH-C
SRC-G2-085,P83,British Council Western Balkans Creative Economy Programme Summary Report,report,,25/12/10,Archive projects/2025 Projects/2025 British Council MNE NM/2025 BC MNE and NM Project management/251210 BC Western Balkans Creative Economy report.docx,,,COMPLETE,,,"Summary report Feb-25/12; Albania, North Macedonia, Montenegro, WB6; macro/meso/micro systems; 65461 chars — very substantial; PHASE_COMPLETE_AWAITING_INSTRUCTION",,,,extracted_text/P83-bc-wb-report_v1.txt,CANONICAL,,REVIEWED,,full,65461 chars; very substantial report; full read confirmed,,Devin,26/09/12,1.3-candidate,G2-BATCH-C
SRC-G2-086,P83,Montenegro Creative Sector Development OKRs 2024-2026,strategy,,24/09/18,Archive projects/2025 Projects/2025 British Council MNE NM/Montenegro 2024/Montenegro-Creative-Sector-Development-OKRs-2024-2026.pptx,,,SUPPORTING,,,Montenegro creative sector OKRs; branding roadmap; XR events; music innovators  Montenegro OKRs PPT; not separately extracted,,,,,SUPPORTING,,NOT_ASSESSED,,,,,,,1.3-candidate,G2-BATCH-C
SRC-G2-087,P83,North Macedonia CEC Models Comparative Analysis,research_report,,25/03/14,Archive projects/2025 Projects/2025 British Council MNE NM/2025 North Macedonia/250314 NMK CEC Models Comparative Analysis.docx,,,SUPPORTING,,,Comparative analysis of CEC models for North Macedonia  NM CEC comparative analysis; not separately extracted,,,,,SUPPORTING,,NOT_ASSESSED,,,,,,,1.3-candidate,G2-BATCH-C
SRC-G2-088,P83,Albania Creative Economy Framework,strategy,,25/07/14,Archive projects/2025 Projects/2025 British Council MNE NM/2025 Albania/250714 Albania Creative Economy Framework.docx,,,SUPPORTING,,,Creative economy framework for Albania; MEKI concept note  Albania creative economy framework; not separately extracted,,,,,SUPPORTING,,NOT_ASSESSED,,,,,,,1.3-candidate,G2-BATCH-C
SRC-R5-001,P87-TRUENORTH,Lancaster University remittance advice lu_8032520 (INV-1357),remittance,,26/05/08,OneDrive-TheFifthSector/Documents - The Fifth Sector/Archive projects/2025 Projects/2025 Lancaster AHRC CIC/lu_remittance_advice_8032520.pdf,,,,,,"£1,499.70 paid 26/05/08 vs INV-1357 (26/02/09) to The Fifth Sector Limited; payment evidence for Lancaster work; relationship to £10k proposal figure TBC; also filed under 2025 Lancaster Uni Horizon bid folder (P76) | REASSIGNED 26/09/12 (Iain): £1,499.70 = initial stakeholder workshop for CICP2 bid prep — True North engagement, NOT P75 Places commission. Dual-filed in AHRC CIC + Horizon folders.",,,,,,,REVIEWED,,,,,Devin,26/09/12,1.3-candidate,REVIEW-PASS
SRC-R5-002,P85-AMGEN,AMGEN CICP2 Microcluster Evidence Pack,deliverable,,26,Archive projects/Google project folders/2026/2026 University of South Wales AMGEN/Amgen_CICP2_Microcluster_Evidence_Pack.docx,,,,,,Places evidence deliverable for USW full CICP2 submission — completed work,,,,extracted_text/SRC-R5-002_v1_full.txt,,,REVIEWED,,full,,,Devin,26/09/12,1.3-candidate,B-SECTION
SRC-R5-003,P85-AMGEN,AMGEN Theory of Change - Multi-Route Analysis,method_doc,,26,Archive projects/Google project folders/2026/2026 University of South Wales AMGEN/AMGEN Theory of Change - Multi-Route Analysis.docx,,,,,,Theory of Change design for AMGEN cluster bid,,,,,,,REVIEWED,,,,,Devin,26/09/12,1.3-candidate,B-SECTION
SRC-R5-004,P85-AMGEN,USW Purchase Orders PO0127 + PO0130 and Invoice INV-1371,contract_docs,,26/06,Archive projects/Google project folders/2026/2026 University of South Wales AMGEN/,,,,,,"PO0130 dated 26/06/11 to Fifth Sector (Edward Pavilion, Albert Dock); formal paid-engagement evidence for £10k direct proposal",,,,,,,REVIEWED,,,,,Devin,26/09/12,1.3-candidate,B-SECTION
SRC-R5-005,P85-AMGEN,AMGEN CICP2 EOI and feedback,bid_docs,,26,Archive projects/Google project folders/2026/2026 University of South Wales AMGEN/,,,,,,EOI outline + EOI Feedback — initial bid shortlisted stage evidence,,,,,,,REVIEWED,,,,,Devin,26/09/12,1.3-candidate,B-SECTION
SRC-R5-006,P86-CSSAL,Creative Scotland Salaries tender brief,tender_brief,,26,Active projects/2026 Creative Scotland Salaries/2026 CSSalaries Proposal/A REVIEW OF SALARIES AND BENEFITS IN THE ARTS  SCREEN AND CREATIVE INDUSTRIES SECTORS TENDER BRIEF.docx,,,,,,ITT for salary review across arts/screen/creative sectors,,,,,,,REVIEWED,,,,,Devin,26/09/12,1.3-candidate,B-SECTION
SRC-R5-007,P86-CSSAL,Schedule 4 Technical Proposal FINAL (submitted),submission,,26,Active projects/2026 Creative Scotland Salaries/2026 CSSalaries Proposal/TheFifthSector - Schedule 4 - Technical Proposal FINAL.pdf,,,,,,Submitted technical proposal — preferred-bidder status achieved,,,,,,,REVIEWED,,,,,Devin,26/09/12,1.3-candidate,B-SECTION
SRC-R5-008,P86-CSSAL,Schedule 2 Pricing + Schedule 5 Form of Tender,submission,,26,Active projects/2026 Creative Scotland Salaries/2026 CSSalaries Proposal/,,,,,,Pricing + form of tender — submitted pack; preferred-bidder letter (email) not yet in folder,,,,,,,REVIEWED,,,,,Devin,26/09/12,1.3-candidate,B-SECTION
SRC-R5-009,P86-CSSAL,Salary Review 2026 + Benchmark Tool deliverables,deliverable,,26,Active projects/2026 Creative Scotland Salaries/2026 CSSalaries Proposal/,,,,,,Creative_Scotland_Salary_Review_2026 + Benchmark_Tool xlsx — DO NOT SEND folder holds Lightcast originals (licence caution: originals not for circulation),,,,,,,REVIEWED,,,,,Devin,26/09/12,1.3-candidate,B-SECTION
SRC-R5-010,P35-DERBYMAP,Derby Cultural Masterplan FINAL,deliverable,,22,Archive projects/2021 Projects/2021 Derby Cultural Masterplan and Compact/2021 Derby Reporting/Derby Cultural Masterplan FINAL (hi-res).pdf,,,,,,Canonical masterplan deliverable (hi-res + low-res PDFs),,,,,,,REVIEWED,,,,,Devin,26/09/12,1.3-candidate,B-SECTION
SRC-R5-011,P35-DERBYMAP,Culture Derby Manifesto v3 + Compact governance,deliverable,,22/09,Archive projects/2021 Projects/2021 Derby Cultural Masterplan and Compact/2021 Derby Reporting/,,,,,,220907 CultureDerbyMANIFESTOv3 + Derby Cultural Compact final governance_v2 — companion deliverables,,,,extracted_text/SRC-R5-011_v1_full.txt,,,REVIEWED,,full,,,Devin,26/09/12,1.3-candidate,B-SECTION
SRC-R5-012,P35-DERBYMAP,ENQ692 Fifth Sector Outcome Notification (signed),contract_docs,,21,Archive projects/2021 Projects/2021 Derby Cultural Masterplan and Compact/Proposal/ENQ692 Fifth Sector Outcome Notification_signed.docx,,,,,,Bid outcome notification — won contract evidence,,,,,,,REVIEWED,,,,,Devin,26/09/12,1.3-candidate,B-SECTION
SRC-R5-013,P86-CSSAL,Creative Scotland tender outcome letter — preferred bidder with panel scores,outcome_notification,"Kelly Neill, Creative Scotland",26/09/04,"Active projects/2026 Creative Scotland Salaries/Re_ REVIEW OF SALARIES AND BENEFITS IN THE ARTS, SCREEN AND CREATIVE INDUSTRIES SECTORS - Tender Outcome.eml",,,,,,"Preferred-bidder notification 26/09/04; standstill 10 working days ending 26/09/18; scores: Price 3.71/4 (30%), Experience 4.00/4 (25%), Methodology 4.00/4 (20%), Team 3.33/4 (15%), Added value 3.00/4 (10%); overall weighted 92.83%. Reg 32(2) Public Contracts (Scotland) Regs 2006.",,,,,,,REVIEWED,,,,,Devin,26/09/12,1.3-candidate,B-SECTION
SRC-R5-014,P76,Lancaster University PO 5002151418 — workshop + bid writing,purchase_order,,25/10/08,Archive projects/2025 Projects/2025 Lancaster Uni Horizon bid/po01a_3_4372262.pdf,,,,,,"PO £4,158.33+VAT: workshop prep £2,083.33 + bid writing assistance £2,075.00 (ref Nathan Jones). Paid engagement on P76 Horizon bid (NOT_AWARDED).",,,,,,,REVIEWED,,,,,Devin,26/09/12,1.3-candidate,B-SECTION
